Isar Lager                                   ,Escarpment Labs         ,                                        ,Lager             ,Med/High ,0.77 ,50  ,59
Kölsch Ale                                   ,Escarpment Labs         ,                                        ,Ales              ,Medium   ,0.75 ,65  ,69
Lactobacillus Blend                          ,Escarpment Labs         ,                                        ,Ale               ,Low      ,0    ,89.6,107.6
Lactobacillus Blend 2.0                      ,Escarpment Labs         ,Lactobacillus Blend 2.0                 ,Wilds & Sours     ,Low      ,0    ,86  ,113
Lactobacillus brevis                         ,Escarpment Labs         ,                                        ,Ale               ,Low      ,0    ,95  ,113
Lactobacillus Secondary Souring Blend        ,Escarpment Labs         ,                                        ,Wilds & Sours     ,Low      ,0    ,64.4,77
Mexican Lager                                ,Escarpment Labs         ,                                        ,Lager             ,Medium   ,0.75 ,50  ,57.2
Munich Lager                                 ,Escarpment Labs         ,                                        ,Lager             ,Medium   ,0.78 ,53.6,59
New World Saison                             ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.8  ,68  ,77
Old World Saison Blend                       ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.85 ,71.6,80.6
Ontario Farmhouse Ale Blend                  ,Escarpment Labs         ,                                        ,Ale               ,Low      ,0.8  ,71.6,80.6
Scotia Sauvage                               ,Escarpment Labs         ,                                        ,Ales              ,Medium   ,0.8  ,65  ,77
Scottish Ale                                 ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.735,57.2,71.6
Spooky Saison                                ,Escarpment Labs         ,                                        ,Belgian Ales      ,Low      ,0.85 ,77  ,0
St                                           ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.76 ,64.4,75.2
St. Lucifer Belgian Ale                      ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.8  ,68  ,76
Uberweizen                                   ,Escarpment Labs         ,                                        ,German Ales       ,Medium   ,0.76 ,64.4,75.2
Vermont Ale                                  ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.78 ,66  ,72
Voss Kveik                                   ,Escarpment Labs         ,                                        ,Ales              ,High     ,0.725,77  ,107
Weizen I                                     ,Escarpment Labs         ,                                        ,Ale               ,Low      ,0.725,64.4,75.2
Weizen II                                    ,Escarpment Labs         ,                                        ,Ale               ,Low/Med  ,0.76 ,64.4,75.2
Wild Thing                                   ,Escarpment Labs         ,                                        ,Ale               ,Medium   ,0.785,77  ,77
Safcider                                     ,Fermentis               ,Safcider                                ,Cider             ,High     ,0.75 ,50  ,80
Safspirit HG                                 ,Fermentis               ,HG-1                                    ,Ales              ,Low      ,0.8  ,77  ,95
HA                                           ,Fermentis / Safale      ,HA-18                                   ,Ales              ,Medium   ,0.97 ,77  ,95
Safale                                       ,Fermentis / Safale      ,US-05                                   ,Ales              ,Medium   ,0.81 ,54  ,77
Safale                                       ,Fermentis / Safale      ,US-56                                   ,Ale               ,Medium   ,0.72 ,59  ,75
Safale                                       ,Fermentis / Safale      ,BE-134                                  ,Ale               ,Low      ,0.9  ,64  ,82
Safale                                       ,Fermentis / Safale      ,S-04                                    ,Ale               ,High     ,0.75 ,54  ,77
Safale                                       ,Fermentis / Safale      ,K-97                                    ,Ale               ,High     ,0.81 ,54  ,77
Safale                                       ,Fermentis / Safale      ,WB06                                    ,Ales              ,Low      ,0.78 ,59  ,75
Safbrew                                      ,Fermentis / Safale      ,BE-256                                  ,Ale               ,High     ,0.82 ,54  ,77
Safbrew                                      ,Fermentis / Safale      ,S-33                                    ,Ale               ,High     ,0.7  ,54  ,77
Safbrew                                      ,Fermentis / Safale      ,T-58                                    ,Ale               ,High     ,0.7  ,54  ,77
Safbrew                                      ,Fermentis / Safale      ,WB-06                                   ,Wheat             ,Low      ,0.86 ,54  ,77
Saflager                                     ,Fermentis / Safale      ,S-23                                    ,Lager             ,High     ,0.82 ,48  ,72
Saflager                                     ,Fermentis / Safale      ,W-34/70                                 ,Lager             ,High     ,0.83 ,48  ,72
Saflager                                     ,Fermentis / Safale      ,S-189                                   ,Lager             ,High     ,0.84 ,48  ,72
SafSpirit USW                                ,Fermentis / Safale      ,USW-6                                   ,Ales              ,Medium   ,0.8  ,68  ,90
Achouffe Belgian Ale yeast                   ,GigaYeast               ,GY003                                   ,Ale               ,Low/Med  ,0.825,68  ,77
Altstadt Ale                                 ,GigaYeast               ,GY016                                   ,Ale               ,Low      ,0.79 ,55  ,68
American Lager Yeast                         ,GigaYeast               ,GY030                                   ,Lager             ,Medium   ,0.81 ,48  ,60
Bavarian Hefe Yeast                          ,GigaYeast               ,GY017                                   ,Ale               ,Low      ,0.79 ,64  ,80
Belgian Mix                                  ,GigaYeast               ,GY007                                   ,Ale               ,Low      ,0.8  ,66  ,77
Belgian Wit Yeast                            ,GigaYeast               ,GY028                                   ,Ale               ,Low      ,0.775,64  ,80
Berliner Blend                               ,GigaYeast               ,GB122                                   ,Ale               ,Low      ,0.89 ,70  ,80
British Ale #3                               ,GigaYeast               ,GY041                                   ,Ale               ,Med/High ,0.81 ,64  ,77
British Ale Yeast #1                         ,GigaYeast               ,GY011                                   ,Ale               ,High     ,0.77 ,64  ,77
British Ale Yeast #2                         ,GigaYeast               ,GY031                                   ,Ale               ,High     ,0.81 ,64  ,75
Czech Pilsner Yeast                          ,GigaYeast               ,GY002                                   ,Lager             ,Med/High ,0.77 ,48  ,55
Farmhouse Sour                               ,GigaYeast               ,GB121                                   ,Ale               ,Low      ,0.89 ,68  ,80
Fast Souring Lacto                           ,GigaYeast               ,GB110                                   ,Ale               ,Low      ,0.4  ,68  ,98
German Lager Yeast                           ,GigaYeast               ,GY045                                   ,Lager             ,Low/Med  ,0.76 ,50  ,60
Golden Gate Lager Yeast                      ,GigaYeast               ,GY005                                   ,Lager             ,Medium   ,0.81 ,55  ,70
Golden Pear Belgian Ale Yeast                ,GigaYeast               ,GY048                                   ,Ale               ,Low      ,0.84 ,65  ,80
